Title,Screen #,Ink Color,Print,Transfer,Screen,NEW 2024 SIZING,,,
Holly Jolly Teacher,3609M,Multi,DTF,,,,,,
I Teach The Brightest Students,3610M,Multi,DTF,,,,,,
Live Love Teach Christmas,3611M,Multi,DTF,,,,,,
Merry Stacked Teacher,3612M,Multi,DTF,,,,,,
Merry Teacher,3613M,Multi,DTF,,,,,,
Merry Teacher Bright Students,3614M,Multi,DTF,,,,,,
Very Merry Teacher Trees,3615M,Multi,DTF,,,,,,
Very Merry Teacher Wavy,3616M,Multi,DTF,,,,,,
,,,,,,,,,
Valentines 3700-3799,,,,,,,,,
Love (cursive),3701W,White,Distressed,,X,X - ES 11 13,,,
Love (cursive),3701R,Red,Distressed,,X,X - ES 11 12 13,,,
Love is all you need,3702W,White,Solid,,X,,,,
Love is all you need,3702R,Red,Solid,,X,,,,
You are the... True Love,3703W,White,Vinyl,,,,,,
You are the... True Love,3703R,Red,Vinyl,,,,,,
XOXO,3704W,White,Distressed,,,,,,
XOXO,3704R,Red,Distressed,,,,,,
All you need is love and chocolate,3705W,White,Distressed,,X,,,,
All you need is love and chocolate,3705R,Red,Distressed,,X,,,,
Be mine Block,3706W,White,Distressed,,X,,,,
Be mine Block,3706R,Red,Distressed,,X,,,,
Crazy little thing called love,3707W,White,Solid,,X,,,,
Crazy little thing called love,3707R,Red,Solid,,X,,,,
My Valentine calls me mama,3708W,White,Solid,,X,,,,
My Valentine calls me mama,3708R,Red,Solid,,X,,,,
Love you more,3709W,White,Solid,,X,,,,
Love you more,3709B,Black,Solid,,X,,,,
Love you more,3709R,Red,Solid,,X,,,,
Put a little love in your heart,3710W,White,Distressed,,X,,,,
Put a little love in your heart,3710R,Red,Distressed,,X,,,,
Te Amo,3711W,White,Solid,,X,,,,
Te Amo,3711R,Red,Solid,,X,,,,
Love x4,3712W,White,Distressed,,X,,,,
Love x4,3712B,Black,Distressed,,X,,,,
Love x4,3712R,Red,Distressed,,,,,,
Bee Mine,3713M,Multi,DTF,,,,,,
Easy on the Eyes,3714M,Multi,DTF,,,,,,
Happy Valentine's Day,3715M,Multi,DTF,,,,,,
Heartbreaker,3716M,Multi,DTF,,,,,,
Love More,3717M,Multi,DTF,,,,,,
Retro Be Mine,3718M,Multi,DTF,,X,,,,
Retro Be Mine,3718W,White,,,X,,,,
Retro Be Mine,3718R,Red,,,X,,,,
Retro Love Stripes,3719M,Multi,DTF,,,,,,
Valentine Words,3720W,White,Distressed,,X,,,,
Valentine words,3720M,Multi,DTF,,,,,,
Be mine (typewriter),3721 W,White,Solid,,X,,,,
Be mine (typewriter),3721 R,Red,Solid,,X,,,,
All you need is love (Heart Shaped),3722W,White,Solid,,X,,,,
All you need is love (Heart Shaped),3722R,Red,Solid,,X,,,,
Valentine's Gnomes,3723M,Multi-DTF,DTF,,,,,,
Buffalo Plaid Hearts,3724M,Multi-DTF,DTF,,,,,,
Buffalo Plaid Love Heart,3725M,Multi-DTF,DTF,,,,,,
Be Mine Heart,3726B,Black,Solid,,X,,,,
Be Mine Heart,3726W,White,Solid,,X,,,,
Be Mine Heart,3726 R,Red,Solid,,X,,,,
Love Hearts,3727B,Black,Solid,,X,,,,
Love Hearts,3727W,White,Solid,,X,,,,
Love Hearts,3727R,Red,Solid,,X,,,,
Love Subway Art,3728B,Black,Solid,,X,,,,
Love Subway Art,3728W,White,Solid,,X,,,,
Love Subway Art,3728 R,Red,Solid,,X,,,,
Hand Drawn Heart,3729B,Black,Solid,,X,,,,
Hand Drawn Heart,3729W,White,Solid,,X,,,,
Hand Drawn Heart,3729G,Green,Solid,,X,,,,
Hand Drawn Heart,3729R,Red,Solid,,X,,,,
My Dog is my Valentine,3730B,Black,Solid,,,,,,
My dog is my Valentine,3730W,White,Solid,,,,,,
Heart balloon bundle,3731M,Multi-DTF,DTF,,,,,,
Three Piece Heart,3732M,Multi-DTF,DTF,,,,,,
Hello Valentine,3733B,Black,Solid,,X,,,,
Hello Valentine,3733W,White,Solid,,X,,,,
Love all,3734B,Black,Solid,,X,,,,
Love all,3734W,White,Solid,,X,,,,
Love all,3734R,Red,Solid,,X,,,,
My cat is my Valentine,3735B,Black,Solid,,X,,,,
My cat is my Valentine,3735W,White,Solid,,,,,,
One loved mom,3736B,Black,Solid,,,,,,
One loved mom,3736W,White,Solid,,,,,,
Taken,3737B,Black,DTF,,,,,,
Taken,3737W,White,DTF,,,,,,
Valentine gnome heart,3738M,Multi-DTF,DTF,,,,,,
Be Mine Cursive,3739B,Black,Solid,,X,,,,
Be Mine Cursive,3739W,White,Solid,,X,,,,
Cherry Hearts Mini,3740M,Multi-DTF,DTF,,,,,,
Valentine leopard heart,3741B,Black,Solid,,X,,,,
Valentine leopard heart,3741W,White,Solid,,X,,,,
Valentine leopard heart,3741R,Red,Solid,,X,,,,
Love Stacked,3742M,Multi-DTF,DTF,,,,,,
Love heart collage,3743M,Multi-DTF,DTF,,,,,,
Love heart collage,3743B,Black,,,X,,,,
Valentine collage,3744B,Black,Solid,,,,,,
Valentine collage,3744W,White,Solid,,,,,,
XOXO Heart,3745M,Multi-DTF,DTF,,,,,,
Love Yourself,3746M,Multi-DTF,DTF,,,,,,
All you need is love and a dog,3747M,Multi-DTF,DTF,,,,,,
Retro Love,3748M,Multi-DTF,DTF,,,,,,
Love Floral,3749B,Black,Solid,,,,,,
Love Floral,3749W,White,Solid,,X,,,,
Alphabet I love You,3750M,Multi-DTF,DTF,,,,,,
All you need is Love and a Cat,3751M,Multi-DTF,DTF,,,,,,
Leopard Gnome Love,3752M,Multi-DTF,DTF,,,,,,
Love Gnomes,3753M,Multi-DTF,DTF,,,,,,
Buffalo plaid love,3754M,Multi-DTF,DTF,,,,,,
Peace love cupid,3755M,Multi-DTF,DTF,,,,,,
Amour,3756B,Black,Solid,,X,,,,
Amour,3756W,White,Solid,,X,,,,
Be mine stacked,3757M,Multi-DTF,DTF,,,,,,
Love bold,3758B,Black,Solid,,,,,,
Love bold,3758W,White,Solid,,X,,,,
Love bold,3758R,Red,Solid,,X,,,,
Love more worry less smiley face,3759M,Multi-DTF,DTF,,,,,,
Love Checker Board,3760M,Multi-DTF,DTF,,,,,,
Love Bug Car,3761M,Multi-DTF,DTF,,,,,,
Love Stacked Smiley Face,3762M,Multi-DTF,DTF,,X-Abbey,,,,
Loved Mama Wavy,3763M,Multi-DTF,DTF,,,,,,
Loved Mama,3764M,Multi-DTF,DTF,,,,,,
Loved Mom,3765M,Multi-DTF,DTF,,,,,,
Loved Nana,3766M,Multi-DTF,DTF,,,,,,
Loved Mimi,3767M,Multi-DTF,DTF,,,,,,
Loved Gigi,3768M,Multi-DTF,DTF,,,,,,
Loved Grandma,3769M,Multi-DTF,DTF,,,,,,
Loved Auntie,3770M,Multi-DTF,DTF,,,,,,
Loved Teacher,3771M,Multi-DTF,DTF,,,,,,
Loved Nurse,3772M,Multi-DTF,DTF,,,,,,
Loved Sister,3773M,Multi-DTF,DTF,,,,,,
Hello Valentine stacked,3774M,Multi-DTF,DTF,,,,,,
Babe Heart,3775B,Black,Solid,,X,,,,
Babe Heart,3775W,White,Solid,,X,,,,
Babe Heart,3775R,Red,Solid,,X,,,,
I don't need a Valentine,3776B,Black,Solid,,X,,,,
I don't need a Valentine,3776W,White,Solid,,X,,,,
I'm a sucker for you,3777M,Multi-DTF,DTF,,,,,,
Be mine Bold,3778M,Multi-DTF,DTF,,,,,,
Love Rainbow,3779M,Multi-DTF,DTF,,,,,,
Sweet heart Retro,3780M,Multi-DTF,DTF,,,,,,
Love all day every day,3781M,Multi-DTF,DTF,,,,,,
Cupid's brewing company,3782B,Black,Solid,,X,,,,
Cupid's brewing company,3782W,White,Solid,,X,,,,
Cupid's brewing company,3782R,Red,Solid,,X,,,,
Be my valentine retro,3783B,Black,Solid,X,,,,,
Be my valentine retro,3783W,White,Solid,X,X,,,,
Love is all you need bold,3784M,Multi-DTF,DTF,,,,,,
Love you most,3785B,Black,Solid,X,X,,,,
Love you most,3785W,White,Solid,X,,,,,
Love You More Bold,3786B,Black,Solid,,,,,,
Love You More Bold,3786W,White,Solid,,,,,,
Not today cupid,3787B,Black,Solid,,X,,,,
Not today cupid,3787W,White,Solid,,,,,,
Amour Retro,3788M,Multi,DTF,,,,,,
Stupid Cupid,3789M,Multi,DTF,,,,,,
Loved Mama Smiley Face,3790M,Multi,DTF,,,,,,
Amore Heart,3791M,Multi,DTF,,,,,,
Be Mine Heart Bold,3792M,Multi,DTF,,,,,,
Be Mine Heart Colorful,3793M,Multi,DTF,,,,,,
Be Mine Valentine Stacked,3794M,Multi,DTF,,,,,,
Checkered Be My Valentine,3795M,Multi,DTF,,,,,,
Fries Before Guys Red,3796M,Multi,DTF,,,,,,
Valentine Yellow Smiley Face,3797M,Multi,DTF,,,,,,
Mix Tape Love Songs,3798M,Multi,DTF,,,,,,
All You Need Is Love Hearts,3799M,Multi,DTF,,,,,,
,,,,,,,,,
St. Patrick's Day 3800-3899,,,,,,,,,
Lucky in Love,3801W,White,,,X,X-AL,,,
Lucky in Love,3801B,Black,,,X,X-AL,,,
Lucky in Love,3801G,Green,,,,X-AL,,,
Lucky in Love,3801R,Red,,,X,X-AL,,,
I'm not a Leprachaun I'm just short,3802W,White,,,,"x-sam (11, 13)",,,
I'm not a Leprachaun I'm just short,3802B,Black,,,,"x-sam (11, 13)",,,
I'm not a Leprachaun I'm just short,3802G,Green,,,,"x-sam (11, 13)",,,
Lucky charm,3803W,White,,,X,can't find file,,,
Lucky charm,3803B,Black,,,X,can't find file,,,
Lucky charm,3803G,Green,,,X,can't find file,,,
Lucky (typewriter),3804W,White,,,X,"x-sam (11, 13)",,,
Lucky (typewriter),3804B,Black,,,X,"x-sam (11, 13)",,,
Lucky (typewriter),3804G,Green,,,X,"x-sam (11, 13)",,,
One Lucky Teacher,3805W,White,,,X,"x-sam (11, 13)",,,
One Lucky Teacher,3805B,Black,,,X,"x-sam (11, 13)",,,
One Lucky Teacher,3805G,Green,,,X,"x-sam (11, 13)",,,
Pinch Patrol,3806W,White,,,X,"x-sam (11, 13)",,,
Pinch Patrol,3806B,Black,,,,"x-sam (11, 13)",,,
Pinch Patrol,3806G,Green,,,X,"x-sam (11, 13)",,,
The leprechauns made me do it,3807M,Multi-DTF,DTF,,,X KAIT,,,
The leprechauns made me do it,3807W,White,,,,X KAIT,,,
The leprechauns made me do it,3807G,Green,,,,X KAIT,,,
Retro clover lucky,3808W,White,,,X,can't find file,,,
Retro clover lucky,3808B,Black,,,,can't find file,,,
Retro clover lucky,3808G,Green,,,X,can't find file,,,
Shamrock truck,3809W,White,,,X,"x-sam (11, 13)",,,
Shamrock truck,3809B,Black,,,X,"x-sam (11, 13)",,,
Shamrock truck,3809G,Green,,,X,"x-sam (11, 13)",,,
Happy go lucky,3810M,Multi-DTF,DTF,,,no png in file,,,
Happy go lucky,3810W,White,,,,no png in file,,,
Cutest clover in the patch,3811W,White,,,,"x-sam (11, 13)",,,
Cutest clover in the patch,3811B,Black,,,,"x-sam (11, 13)",,,
Cutest clover in the patch,3811G,Green,,,,"x-sam (11, 13)",,,
Clover,3812M,Multi-DTF,DTF,,,can't find file,,,
Follow the rainbow,3813M,Multi-DTF,DTF,,,can't find file,,,
Rainbow and clover,3814M,Multi-DTF,DTF,,,"x-sam (11, 13)",,,
Lucky Gnomes,3815M,Multi-DTF,DTF,,,"x-sam (11, 13)",,,
Retro Lucky Colorful,3816M,Multi-DTF,DTF,,,"x-sam (11, 13)",,,
Feeling Luckyx4,3817M,Multi-DTF,DTF,,,"x-sam (11, 13)",,,
Shenanigans Coordinator,3818W,White,DTF,,,"x-sam (11, 13)",,,
Shenanigans Coordinator,3818G,Green,DTF,,,"x-sam (11, 13)",,,
Happy Go Lucky Rainbow,3819M,Multi,DTF,,,"x-sam (11, 13)",,,
You're My Lucky Charm Clovers,3820M,Multi,DTF,,,"x-sam (11, 13)",,,
Lucky Rainbow,3821M,Multi,DTF,,,"x-sam (11, 13)",,,
Leopard Shamrock,3822B,Black,Solid,,X,"x-sam (11, 13)",,,
Leopard Shamrock,3822W,White,Solid,,X,"x-sam (11, 13)",,,
Leopard Shamrock,3822GRE,Green,Solid,,X,"x-sam (11, 13)",,,
Retro Lucky Stripes,3823M,Multi,DTF,,,"x-sam (11, 13)",,,
Lucky Mama Stacked,3824M,Multi,DTF,,,"x-sam (11, 13)",,,
Happy Go Lucky Shamrock,3825W,White,DTF,,,"x-sam (11, 13)",,,
Happy Go Lucky Shamrock,3825B,Black,DTF,,,"x-sam (11, 13)",,,
Happy Go Lucky Shamrock,3825G,Green,DTF,,,"x-sam (11, 13)",,,
Lucky Horse Shoe ,3826M,Multi,DTF,,,"x-sam (11, 13)",,,
Lucky Mama Buffalo Plaid,3827M,Multi,DTF,,,"x-sam (11, 13)",,,
Shenanigan Influencer,3828W,White,DTF,,,"x-sam (11, 13)",,,
Shenanigan Influencer,3828B,Black,DTF,,,"x-sam (11, 13)",,,
Shenanigan Influencer,3828G,Green,DTF,,,"x-sam (11, 13)",,,
Love Shamrock,3829M,Multi,DTF,,,"x-sam (11, 13)",,,
Hand Drawn Heart With Shamrock,3830W,White,Solid,,X,"x-sam (11, 13)",,,
Hand Drawn Heart With Shamrock,3830B,Black,Solid,,X,"x-sam (11, 13)",,,
Hand Drawn Heart With Shamrock,3830G,Green,Solid,,X,"x-sam (11, 13)",,,
Clover Chart,3831M,Multi,DTF,,,"x-sam (11, 13)",,,
Buffalo Plaid Lucky,3832M,Multi,DTF,,,X KAIT,,,
Not Lucky Just Blessed,3833W,White,DTF,,,"x-sam (11, 13)",,,
Not Lucky Just Blessed,3833G,Green,DTF,,,"x-sam (11, 13)",,,
Lucky Stacked,3834W,White,DTF,,,"x-sam (11, 13)",,,
Lucky Stacked,3834G,Green,DTF,,X,"x-sam (11, 13)",,,
Lucky Stacked,3834S,Sage,DTF,,,"x-sam (11, 13)",,,
Grunge Clover,3835W,White,Distressed,,X,"x-sam (11, 13)",,,
Grunge Clover,3835B,Black,Distressed,,X,"x-sam (11, 13)",,,
Grunge Clover,3835G,Green,DTF,,X,"x-sam (11, 13)",,,
Buffalo Plaid Shamrock Circle,3836M,Multi,DTF,,,X KAIT,,,
Irish Rainbow,3837M,Multi,DTF,,,"x-sam (11, 13)",,,
St. Patrick's Gnomes,3838M,Multi,DTF,,,"x-sam (11, 13)",,,
Lucky Bold,3839G,Green,DTF,,X,"x-sam (11, 13)",,,
Lucky Bold,3839W,White,DTF,,X,"x-sam (11, 13)",,,
Buffalo Plaid Clover,3840M,Multi,DTF,,,X KAIT,,,
Feeling Lucky Smiley Face,3841M,Multi,DTF,,,"x-sam (11, 13)",,,
Lucky Vibes Car,3842M,Multi,DTF,,,"x-sam (11, 13)",,,
Lucky Hat,3843M,Multi,DTF,,,"x-sam (11, 13)",,,
Lucky Stacked Clover,3844M,Multi,DTF,,,"x-sam (11, 13)",,,
You're My Lucky Charm,3845M,Multi,DTF,,,"x-sam (11, 13)",,,
Rainbow One Lucky Teacher,3846M,Multi,DTF,,,"x-sam (11, 13)",,,
My Students Are My Lucky Charms,3847W,White,Solid,,,"x-sam (11, 13)",,,
My Students Are My Lucky Charms,3847B,Black,Solid,,,"x-sam (11, 13)",,,
Lucky Teacher Buffalo Plaid Clover,3848M,Multi,DTF,,,"x-sam (11, 13)",,,
Lucky Teacher Rainbow,3849W,White,Solid,,,"x-sam (11, 13)",,,
Lucky Teacher Rainbow,3849B,Black,Solid,,,"x-sam (11, 13)",,,
Lucky Teacher Stacked Colorful,3850M,Multi,DTF,,,"x-sam (11, 13)",,,
Happy Go Lucky Smiley Face With Hat,3851M,Multi,DTF,,,"x-sam (11, 13)",,,
I'm A Lucky Charm,3852M,Multi,DTF,,,"x-sam (11, 13)",,,
Lucky Vibes Clover,3853M,Multi,DTF,,,"x-sam (11, 13)",,,
St. Patrick's Heart,3854W,White,Solid,,X,"x-sam (11, 13)",,,
St. Patrick's Heart,3854B,Black,Solid,,,"x-sam (11, 13)",,,
St. Patrick's Heart,3854G,Green,DTF,,X,"x-sam (11, 13)",,,
Feeling Lucky Stacked,3855G,Green,DTF,,,"x-sam (11, 13)",,,
Lucky With Heart And Clover,3856W,White,Solid,,,"x-sam (11, 13)",,,
Lucky With Heart And Clover,3856B,Black,Solid,,,"x-sam (11, 13)",,,
Lucky With Heart And Clover,3856G,Green,DTF,,X,"x-sam (11, 13)",,,
This Is My Lucky Shirt,3857G,Green,DTF,,X,"x-sam (11, 13)",,,
Feeling Kinda Lucky Colorful,3858M,Multi,DTF,,,"x-sam (11, 13)",,,
Lucky To Be A Teacher Solid Rainbow,3859M,Multi,DTF,,,"x-sam (11, 13)",,,
Can't Pinch This,3860M,Multi,DTF,,,X KAIT,,,
Farm Fresh Four Leaf Clovers,3861W,White,Solid,X,,"x-sam (11, 13)",,,
Farm Fresh Four Leaf Clovers,3861B,Black,Solid,X,,"x-sam (11, 13)",,,
Farm Fresh Four Leaf Clovers,3861G,Green,Solid,X,X,"x-sam (11, 13)",,,
Loads Of Luck Truck,3862W,White,Solid,,,"x-sam (11, 13)",,,
Loads Of Luck Truck,3862B,Black,Solid,,,"x-sam (11, 13)",,,
Love Clover,3863W,White,Solid,,X,"x-sam (11, 13)",,,
Love Clover,3863B,Black,Solid,,X,"x-sam (11, 13)",,,
Love Clover,3863G,Green,Solid,,,"x-sam (11, 13)",,,
Irish-ish,3864W,White,Solid,,,"x-sam (11, 13)",,,
Irish-ish,3864B,Black,Solid,X,X,"x-sam (11, 13)",,,
Irish-ish,3864G,Green,Solid,X,,"x-sam (11, 13)",,,
Let The Shenanigans Begin,3865W,White,Solid,X,,"x-sam (11, 13)",,,
Let The Shenanigans Begin,3865B,Black,Solid,X,,"x-sam (11, 13)",,,
Let The Shenanigans Begin,3865G,Green,Solid,X,,"x-sam (11, 13)",,,
Let The Shenanigans Begin,3865M,Multi,DTF,,,"x-sam (11, 13)",,,
Shamrock Heart,3866W,White,DTF,X,X,"x-sam (11, 13)",,,
Shamrock Heart,3866G,Green,DTF,X,X,"x-sam (11, 13)",,,
St. Patrick's Chart,3867M,Multi,DTF,,,"x-sam (5, 7, 8, 10, 11, 13)",,,
Clover Gnome,3868M,Multi,DTF,,,"x-sam (11, 13)",,,
Clover Smiley,3869M,Multi,DTF,,,"x-sam (5, 7, 8, 10, 11, 13)",,,
Coin Gnome,3870M,Multi,DTF,,,"x-sam (11, 13)",,,
Feeling Lucky Rainbow,3871M,Multi,DTF,,,"x-sam (11, 13)",,,
Feeling Lucky Smiley Circle,3872M,Multi,DTF,,,"x-sam (11, 13)",,,
Four Leaf Clover Co,3873M,Multi,DTF,,,"x-sam (11, 13)",,,
Happy And Lucky,3874M,Multi,DTF,,,"x-sam (5, 7, 8, 10, 11, 13)",,,
Happy Go Lucky Hat,3875M,Multi,DTF,,,"x-sam (11, 13)",,,
Leprechaun Hat,3876M,Multi,DTF,,,"x-sam (11, 13)",,,
Lucky Babe,3877M,Multi,DTF,,,"x-sam (5, 7, 8, 10, 11, 13)",,,
Lucky Clover Stacked,3878M,Multi,DTF,,,"x-sam (11, 13)",,,
Lucky Mom,3879M,Multi,DTF,,,"x-sam (11, 13)",,,
Lucky Rainbow Stars,3880M,Multi,DTF,,,"x-sam (5, 7, 8, 10, 11, 13)",,,
Magic Rainbow,3881M,Multi,DTF,,,"x-sam (5, 7, 8, 10, 11, 13)",,,
My Lucky Charm,3882M,Multi,DTF,,,"x-sam (11, 13)",,,
Old Irish Brewing Co,3883M,Multi,DTF,,,"x-sam (11, 13)",,,
Pinch Proof,3884M,Multi,DTF,,,"x-sam (5, 7, 8, 10, 11, 13)",,,
Retro Lucky,3885M,Multi,DTF,,,"x-sam (5, 7, 8, 10, 11, 13)",,,
Simple Clover,3886M,Multi,DTF,,,"x-sam (5, L7, L8, 10, 11, 13)",,,
Smiley Lucky Babe Stacked,3887M,Multi,DTF,,,"x-sam (11, 13)",,,
Lucky Cursive Stacked,3888M,Multi,DTF,,,"x-sam (11, 13)",,,
I Pinch Back Hat,3889W,White,Solid,X,,"x-sam (11, 13)",,,
I Pinch Back Hat,3889B,Black,Solid,X,X,"x-sam (11, 13)",,,
Kiss Me Anyway,3890M,Multi,DTF,,,"x-sam (11, 13)",,,
Lucky Retro Rough,3891M,Multi,DTF,,,"x-sam (11, 13)",,,
Pinch Proof Retro Shadow,3892M,Multi,DTF,,,"x-sam (11, 13)",,,
Sassy Lassie,3893M,Multi,DTF,,,"x-sam (5, 7, 8, 10, 11, 13)",,,
You're My Lucky Charm Plaid,3894M,Multi,DTF,,,"x-sam (11, 13)",,,
Can't Pinch This Shamrock,3895M,Multi,DTF,,,"x-sam (5, 7, 8, 10, 11, 13)",,,
Happy Go Lucky Clovers,3896M,Multi,DTF,,,"x-sam (5, 7, 8, 10, 11, 13)",,,
Kiss Me I'm Irish Rainbow,3897M,Multi,DTF,,,"x-sam (11, 13)",,,
Lucky Clover Checkered,3898M,Multi,DTF,,,"x-sam (7.5, 11, 13)",,,
Lucky Mama Clovers,3899M,Multi,DTF,,,"x-sam (11, 13)",,,
,,,,,,,,,
Patritotic 3900-3999,,,,,,,,,
Party in the USA,3901W,White,DTF,X,X,"ES - 11, 13",,,
Party in the USA,3901R,Red,DTF,X,X,"ES - 11, 13",,,
Party in the USA,3901F,Foil,,,X,X,,,
Party in the USA 2 color,3901R,Red,DTF,,X,"ES -11, 13",,,
Party in the USA 2 color,3901BL,Navy,DTF,,X,"ES - 11, 13",,,
Freedom & Fireworks,3902W,White,Vinyl/DTF,,X,X - ES 11 13,,,
Freedom & Fireworks,3902R,Red,Vinyl/DTF,,X,X - ES 11 13,,,
Freedom & Fireworks,3902F,Foil,,,X,,,,
Freedom and Fireworks 2 color,3902R,Red,Vinyl/DTF,,X,X - ES 11 13,,,
Freedom and Fireworks 2 color,3902BL,Navy,Vinyl/DTF,,X,X - ES 11 13,,,
Stars & Stripes Forever,3903W,White,Vinyl/DTF,,X,X - ES 11 13,,,
Stars & Stripes Forever,3903R,Red,Vinyl/DTF,,X,X - ES 11 13 ,,,
Stars & Stripes Forever 2 color,3903R,Red,Vinyl/DTF,,X,X - ES 11 13,,,
Stars and stripes forever 2 color,3903BL,Navy,Vinyl/DTF,,X,X - ES 11 13,,,
Stars & Stripes Forever,3903F,Foil,,,X,X - ES 11 13,,,
America Cursive,3904W,White,Solid,,X,X - ES 11 13,,,
America Cursive,3904R,Red,Solid,,X,X - ES 11 13,,,
America. One Nation Under God,3905W,White,DTF,,X,X - ES 11 13,,,
America. One Nation Under God,3905R,Red,DTF,,X,X - ES 11 13,,,
America. One Nation Under God 2 color,3905R,Red,DTF,,X,X - ES 11 13,,,
America. One Nation Under God 2 color,3905BL,Navy,DTF,,X,X - ES 11 13,,,
Proud to be an American,3906W,White,DTF,,X,X - ES 11 13,,,
Proud to be an American,3906R,Red,DTF,,X,X - ES 11 13,,,
Proud to be an American 2 color,3906R,Red,DTF,,X,X - ES 11 13,,,
Proud to be an American 2 color,3906BL,Navy,DTF,,X,X - ES 11 13,,,
Sweet Land of Liberty,3907W,White,DTF,,,X - ES 11 13,,,
Sweet Land of Liberty,3907R,Red,DTF,,,X - ES 11 13,,,
Sweet Land of Liberty 2 color,3907R,Red,DTF,,X,X - ES 11 13,,,
Sweet Land of Liberty 2 color,3907BL,Navy,DTF,,X,X - ES 11 13,,,
Let Freedom Ring,3908W,White,DTF,,X,X - ES 11 13,,,
Let Freedom Ring,3908R,Red,DTF,,X,X - ES 11 13,,,
Land that I Love,3909W,White,DTF,,X,X - ES 11 13,,,
Land that I Love,3909R,Red,DTF,,X,X - ES 11 13,,,
Made in America,3910W,White,DTF,,X,X - ES 11 13,,,
US of A,3911W,White,DTF,,,,,,
US of A,3911R,Red,DTF,,,,,,
US of A,3911BL,Blue,DTF,,,,,,
4th of July Words,3912W,White,DTF,,X,X - ES 11 13,,,
Patriotic Rainbow,3913M,Multi,DTF,,,X - ES 11 13,,,
1776,3914M,Multi,DTF,,,X - ES 11 13,,,
American Mama,3915WM,White/Multi,DTF,,,X - ES 11 13,,,
American Mama,3915BM,Black/Multi,DTF,,,X - ES 11 13,,,
Made In The USA,3916M,Multi,DTF,,,X - ES 11 13,,,
America Land That I Love,3917M,Multi,DTF,,,X - ES 11 13,,,
America Land Of The Free,3918M,Multi,DTF,,,Duplicate of 3998 below,,,
Freedom Tour 1776,3920M,Multi,DTF,,,X - ES 11 13,,,
America Wings,3921M,Multi,DTF,,,,,,
America Stripes,3922M,Multi,DTF,,,,,,
America,3923W,White,Solid,,,,,,
America,3923B,Black,Solid,,,,,,
America,3923R,Red,Solid,,,,,,
American Girl,3924W,White,Solid,,,,,,
American Girl,3924B,Black,Solid,,,,,,
American Girl,3924R,Red,Solid,,,,,,
God Bless America,3925W,White,Solid,,X,,,,
God Bless America,3925R,Red,Solid,,X,,,,
Stars And Stripes Retro,3926W,White,Solid,,X,,,,
Stars And Stripes Retro,3926B,Black,Solid,,,,,,
Stars And Stripes Retro,3926R,Red,Solid,,,,,,
America Y'all,3927M,Multi,DTF,,,,,,
Made In The USA Blue,3928M,Multi,DTF,,,,,,
USA Home,3929M,Multi,DTF,,,,,,
Abraham Lincoln,3932M,Multi,DTF,,,,,,
America Home Of The Brave,3933M,Multi,DTF,,,,,,
Oh My Stars Bold,3934W,White,Solid,,X,,,,
Oh My Stars Bold,3934B,Black,Solid,,,,,,
George Washington,3935M,Multi,DTF,,,,,,
Flag Lips,3936M,Multi,DTF,,,,,,
Flag Lips,3936W,White,,,X,,,,
Flag Lips,3936R,Red,,,X,,,,
Flag Lips,3936BLU,Blue,,,X,,,,
Llama 'Merica,3937M,Multi,DTF,,,,,,
Stars And Stripes,3938M,Multi,DTF,,,,,,
USA Flag,3939W,White,DTF,,,,,,
USA Flag,3939B,Black,DTF,,,,,,
USA Flag,3939R,Red,DTF,,,,,,
Merica Retro,3941M,Multi,DTF,,,,,,
Oh My Stars Retro,3942M,Multi,DTF,,,,,,
Land Of The Free Eagle,3943M,Multi,DTF,,,,,,
America With Stars And Stripes,3944M,Multi,DTF,,,,,,
America Rays,3945W,White,Solid,,X,,,,
America Rays,3945B,Black,Solid,,,,,,
America Rays,3945R,Red,Solid,,X,,,,
Made In The USA Wavy,3947W,White,Solid,,X,,,,
Made In The USA Wavy,3947B,Black,Solid,,,,,,
Made In The USA Wavy,3947R,Red,Solid,,,,,,
Baby You're A Firework,3948W,White,Solid,,,,,,
Baby You're A Firework,3948B,Black,Solid,,,,,,
Baby You're A Firework,3948R,Red,Solid,,X,,,,
Baby You're A Firework,3948B,Blue,Solid,,,,,,
Land That I Love Circle,3949W,White,Solid,,X,,,,
Land That I Love Circle,3949B,Black,Solid,,,,,,
Land That I Love Circle,3949R,Red,Solid,,,,,,
Land That I Love Circle,3949B,Blue,Solid,,,,,,
American Mama Flag,3950M,Multi,DTF,,,,,,
God Bless America Rainbow,3951M,Multi,DTF,,,,,,
Patriotic Star,3952M,Multi,DTF,,,,,,
Let's Get Lit,3953M,Multi,DTF,,,,,,
Made In The USA Stars,3954M,Multi,DTF,,,,,,
Stars And Stripes With Stars,3955M,Multi,DTF,,,,,,
Freedom Rocks,3956M,Multi,DTF,,,,,,
Star Spangled Babe,3957W,White,Solid,,X,,,,
Star Spangled Babe,3957B,Black,Solid,,,,,,
Star Spangled Babe,3957R,Red,Solid,,X,,,,
Star Spangled Babe,3957B,Blue,Solid,,,,,,
Sweet Land Of Liberty Eagle,3958M,Multi,DTF,,,,,,
Land Of The Free Retro,3959M,Multi,DTF,,,,,,
Party In The USA Retro,3960M,Multi,DTF,,,,,,
Baby You're A Firework Retro,3961M,Multi,DTF,,,,,,
America Stacked Wavy,3962M,Multi,DTF,,,,,,
